"y","ave_degree","transitivity","motif_3_1","motif_3_2","motif_4_1","motif_4_2","motif_4_3","motif_4_4","motif_4_5","motif_4_6","density","community_id","week","next_y","next_ave_degree","next_transitivity","next_motif_3_1","next_motif_3_2","next_motif_4_1","next_motif_4_2","next_motif_4_3","next_motif_4_4","next_motif_4_5","next_motif_4_6","next_density","next_community_id"
38,6.33333333333333,0.454545454545455,36,10,20,31,42,0,5,2,0.575757575757576,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4.88888888888889,0.413793103448276,17,4,6,8,15,0,0,1,0.611111111111111,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,9,0.863013698630137,10,21,0,0,25,0,0,15,1.28571428571429,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,0.6,2,1,0,0,1,0,0,0,1.33333333333333,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.66666666666667,0,1,0,0,0,0,0,0,0,1.33333333333333,5,1,18,6,0.714285714285714,6,5,0,0,9,0,0,1,1.2,1
4,2.66666666666667,0,1,0,0,0,0,0,0,0,1.33333333333333,5,1,2,2,0,0,0,0,0,0,0,0,0,2,5
2,2,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,0.714285714285714,6,5,0,0,9,0,0,1,1.2,1,2,60,12,0.923076923076923,14,56,0,1,42,0,0,70,1.33333333333333,1
12,6,1,0,4,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,7,2,10,4,0.5,3,1,0,2,1,0,0,0,1,4
2,2,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
60,12,0.923076923076923,14,56,0,1,42,0,0,70,1.33333333333333,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5,0.521739130434783,11,4,3,6,9,0,0,1,0.714285714285714,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8,1,0,10,0,0,0,0,0,5,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,0.5,3,1,0,2,1,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
