"y","ave_degree","transitivity","motif_3_1","motif_3_2","motif_4_1","motif_4_2","motif_4_3","motif_4_4","motif_4_5","motif_4_6","density","community_id","week","next_y","next_ave_degree","next_transitivity","next_motif_3_1","next_motif_3_2","next_motif_4_1","next_motif_4_2","next_motif_4_3","next_motif_4_4","next_motif_4_5","next_motif_4_6","next_density","next_community_id"
6,10,1,0,20,0,0,0,0,0,15,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,1,0,10,0,0,0,0,0,5,2,2,1,4,3,0,2,0,0,1,0,0,0,0,1,4
4,6,1,0,4,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.66666666666667,0,1,0,0,0,0,0,0,0,1.33333333333333,4,1,2,2,0,0,0,0,0,0,0,0,0,2,5
5,4,0.375,5,1,2,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,1,0,4,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0.6,2,1,0,0,1,0,0,0,1.33333333333333,3,2,9,9.33333333333333,0.774193548387097,21,24,0,4,42,0,8,16,1.16666666666667,1
4,3,0,2,0,0,1,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.33333333333333,0.774193548387097,21,24,0,4,42,0,8,16,1.16666666666667,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,1,0,20,0,0,0,0,0,15,2,2,3,15,6.13333333333333,0.5,39,13,17,33,56,0,3,5,0.438095238095238,2
5,5.6,0.8,3,4,0,0,3,0,0,1,1.4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.66666666666667,0,1,0,0,0,0,0,0,0,1.33333333333333,4,3,16,8.25,0.569620253164557,68,30,34,75,118,0,23,17,0.55,1
3,2.66666666666667,0,1,0,0,0,0,0,0,0,1.33333333333333,4,3,11,13.8181818181818,0.940298507462687,16,84,0,1,56,0,0,126,1.38181818181818,3
2,2,0,0,0,0,0,0,0,0,0,2,5,3,2,2,0,0,0,0,0,0,0,0,0,2,4
16,8.25,0.569620253164557,68,30,34,75,118,0,23,17,0.55,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15,6.13333333333333,0.5,39,13,17,33,56,0,3,5,0.438095238095238,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
11,13.8181818181818,0.940298507462687,16,84,0,1,56,0,0,126,1.38181818181818,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
